22:54:11 programm started
22:59:11 checkApp 3096 "yandex\\Partners.exe"
23:04:11 checkApp 3096 "yandex\\Partners.exe"
23:09:11 checkApp 3096 "yandex\\Partners.exe"
23:14:11 checkApp 3096 "yandex\\Partners.exe"
23:19:11 checkApp 3096 "yandex\\Partners.exe"
23:24:13 checkApp 3096 "yandex\\Partners.exe"
23:29:11 checkApp 3096 "yandex\\Partners.exe"
23:34:11 checkApp 3096 "yandex\\Partners.exe"
23:39:11 checkApp 3096 "yandex\\Partners.exe"
23:44:11 checkApp 3096 "yandex\\Partners.exe"
23:49:11 checkApp 3096 "yandex\\Partners.exe"
23:54:14 checkApp 3096 "yandex\\Partners.exe"
23:59:11 checkApp 3096 "yandex\\Partners.exe"
00:04:11 checkApp 3096 "yandex\\Partners.exe"
00:09:11 checkApp 3096 "yandex\\Partners.exe"
00:14:11 checkApp 3096 "yandex\\Partners.exe"
00:19:11 checkApp 3096 "yandex\\Partners.exe"
00:24:13 checkApp 3096 "yandex\\Partners.exe"
00:29:11 checkApp 3096 "yandex\\Partners.exe"
00:34:11 checkApp 3096 "yandex\\Partners.exe"
00:39:11 checkApp 3096 "yandex\\Partners.exe"
00:44:11 checkApp 3096 "yandex\\Partners.exe"
00:49:11 checkApp 3096 "yandex\\Partners.exe"
00:54:13 checkApp 3096 "yandex\\Partners.exe"
00:59:11 checkApp 3096 "yandex\\Partners.exe"
01:04:11 checkApp 3096 "yandex\\Partners.exe"
01:09:11 checkApp 3096 "yandex\\Partners.exe"
01:14:11 checkApp 3096 "yandex\\Partners.exe"
01:19:11 checkApp 3096 "yandex\\Partners.exe"
01:24:13 checkApp 3096 "yandex\\Partners.exe"
01:29:11 checkApp 3096 "yandex\\Partners.exe"
01:34:11 checkApp 3096 "yandex\\Partners.exe"
01:39:11 checkApp 3096 "yandex\\Partners.exe"
01:44:11 checkApp 3096 "yandex\\Partners.exe"
01:49:11 checkApp 3096 "yandex\\Partners.exe"
01:54:13 checkApp 3096 "yandex\\Partners.exe"
01:59:11 checkApp 3096 "yandex\\Partners.exe"
02:04:11 checkApp 3096 "yandex\\Partners.exe"
02:09:11 checkApp 3096 "yandex\\Partners.exe"
02:14:11 checkApp 3096 "yandex\\Partners.exe"
02:19:11 checkApp 3096 "yandex\\Partners.exe"
02:24:13 checkApp 3096 "yandex\\Partners.exe"
02:29:11 checkApp 3096 "yandex\\Partners.exe"
02:34:11 checkApp 3096 "yandex\\Partners.exe"
02:39:11 checkApp 3096 "yandex\\Partners.exe"
02:44:11 checkApp 3096 "yandex\\Partners.exe"
02:49:11 checkApp 3096 "yandex\\Partners.exe"
02:54:13 checkApp 3096 "yandex\\Partners.exe"
02:59:11 checkApp 3096 "yandex\\Partners.exe"
03:04:11 checkApp 3096 "yandex\\Partners.exe"
